key_resp.keys,key_resp.rt,participant,session,date,Condition,CorrResp_Train,Part_Resp_Train,Code_Train,CorrResp_Test,Part_Resp_Test,Code_Test
space,50.77223,3,1,2021-01-29_11h11.14.273,AO,3,3,1,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,7,7,1,4,4,1
,,3,1,2021-01-29_11h11.14.273,AO,5,7,0,2,2,1
,,3,1,2021-01-29_11h11.14.273,AO,6,0,0,5,8,0
,,3,1,2021-01-29_11h11.14.273,AO,0,9,0,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,7,8,0,3,3,1
,,3,1,2021-01-29_11h11.14.273,AO,8,5,0,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,2,4,0,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,7,6,0,1,1,1
,,3,1,2021-01-29_11h11.14.273,AO,9,6,0,9,9,1
,,3,1,2021-01-29_11h11.14.273,AO,1,1,1,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,6,9,0,4,4,1
,,3,1,2021-01-29_11h11.14.273,AO,5,8,0,1,3,0
,,3,1,2021-01-29_11h11.14.273,AO,0,6,0,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,3,4,0,5,5,1
,,3,1,2021-01-29_11h11.14.273,AO,4,1,0,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,7,5,0,3,3,1
,,3,1,2021-01-29_11h11.14.273,AO,9,8,0,4,4,1
,,3,1,2021-01-29_11h11.14.273,AO,4,3,0,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,6,6,1,2,1,0
,,3,1,2021-01-29_11h11.14.273,AO,9,0,0,9,9,1
,,3,1,2021-01-29_11h11.14.273,AO,2,1,0,1,4,0
,,3,1,2021-01-29_11h11.14.273,AO,4,2,0,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,1,3,0,5,0,0
,,3,1,2021-01-29_11h11.14.273,AO,1,1,1,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,6,9,0,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,7,5,0,4,3,0
,,3,1,2021-01-29_11h11.14.273,AO,4,2,0,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,8,5,0,2,4,0
,,3,1,2021-01-29_11h11.14.273,AO,5,6,0,3,4,0
,,3,1,2021-01-29_11h11.14.273,AO,9,8,0,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,0,8,0,5,5,1
,,3,1,2021-01-29_11h11.14.273,AO,3,2,0,9,5,0
,,3,1,2021-01-29_11h11.14.273,AO,5,6,0,1,4,0
,,3,1,2021-01-29_11h11.14.273,AO,8,8,1,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,2,1,0,3,3,1
,,3,1,2021-01-29_11h11.14.273,AO,1,2,0,4,1,0
,,3,1,2021-01-29_11h11.14.273,AO,7,9,0,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,6,7,0,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,2,1,0,2,1,0
,,3,1,2021-01-29_11h11.14.273,AO,0,5,0,5,6,0
,,3,1,2021-01-29_11h11.14.273,AO,4,3,0,9,9,1
,,3,1,2021-01-29_11h11.14.273,AO,5,6,0,3,2,0
,,3,1,2021-01-29_11h11.14.273,AO,3,1,0,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,1,1,1,4,4,1
,,3,1,2021-01-29_11h11.14.273,AO,7,5,0,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,8,5,0,1,3,0
,,3,1,2021-01-29_11h11.14.273,AO,9,5,0,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,4,3,0,2,3,0
,,3,1,2021-01-29_11h11.14.273,AO,6,8,0,5,6,0
,,3,1,2021-01-29_11h11.14.273,AO,0,7,0,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,2,2,1,3,3,1
,,3,1,2021-01-29_11h11.14.273,AO,9,8,0,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,8,9,0,9,9,1
,,3,1,2021-01-29_11h11.14.273,AO,7,6,0,4,1,0
,,3,1,2021-01-29_11h11.14.273,AO,9,9,1,1,2,0
,,3,1,2021-01-29_11h11.14.273,AO,3,1,0,2,1,0
,,3,1,2021-01-29_11h11.14.273,AO,2,1,0,5,8,0
,,3,1,2021-01-29_11h11.14.273,AO,0,0,1,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,6,6,1,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,1,1,1,9,9,1
,,3,1,2021-01-29_11h11.14.273,AO,8,7,0,3,1,0
,,3,1,2021-01-29_11h11.14.273,AO,6,6,1,4,4,1
,,3,1,2021-01-29_11h11.14.273,AO,4,1,0,8,5,0
,,3,1,2021-01-29_11h11.14.273,AO,0,5,0,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,3,3,1,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,7,6,0,5,8,0
,,3,1,2021-01-29_11h11.14.273,AO,1,2,0,4,2,0
,,3,1,2021-01-29_11h11.14.273,AO,2,2,1,2,4,0
,,3,1,2021-01-29_11h11.14.273,AO,5,8,0,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,3,3,1,1,2,0
,,3,1,2021-01-29_11h11.14.273,AO,0,0,1,9,8,0
,,3,1,2021-01-29_11h11.14.273,AO,9,9,1,3,3,1
,,3,1,2021-01-29_11h11.14.273,AO,4,2,0,5,6,0
,,3,1,2021-01-29_11h11.14.273,AO,8,7,0,4,4,1
,,3,1,2021-01-29_11h11.14.273,AO,6,6,1,2,1,0
,,3,1,2021-01-29_11h11.14.273,AO,2,1,0,7,7,1
,,3,1,2021-01-29_11h11.14.273,AO,7,7,1,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,9,8,0,1,4,0
,,3,1,2021-01-29_11h11.14.273,AO,1,1,1,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,5,6,0,6,6,1
,,3,1,2021-01-29_11h11.14.273,AO,8,5,0,5,0,0
,,3,1,2021-01-29_11h11.14.273,AO,6,6,1,2,4,0
,,3,1,2021-01-29_11h11.14.273,AO,4,2,0,9,9,1
,,3,1,2021-01-29_11h11.14.273,AO,7,7,1,3,4,0
,,3,1,2021-01-29_11h11.14.273,AO,0,9,0,0,0,1
,,3,1,2021-01-29_11h11.14.273,AO,9,9,1,8,8,1
,,3,1,2021-01-29_11h11.14.273,AO,4,3,0,7,7,1
